Clip Index,Tag ID,Tag Time,Video Start (s),Clip Duration (s),Eject Time (s),Hold Time (s),Retract Time (s),Detected During Retract,Output File,Status
158,0,2026-04-28 03:47:06,34789.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0158.mp4,Saved
159,0,2026-04-28 03:48:14,34857.5,16.0,2.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0159.mp4,Saved
160,0,2026-04-28 04:21:38,36861.5,16.0,2.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0160.mp4,Saved
161,0,2026-04-28 04:27:46,37229.5,16.0,2.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0161.mp4,Saved
162,0,2026-04-28 04:51:15,38638.5,16.0,2.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0162.mp4,Saved
163,0,2026-04-28 04:51:58,38681.5,16.0,2.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0163.mp4,Saved
164,0,2026-04-28 04:52:56,38739.5,16.0,2.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0164.mp4,Saved
165,0,2026-04-28 05:09:21,39724.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0165.mp4,Saved
166,0,2026-04-28 06:25:54,44317.5,16.0,2.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0166.mp4,Saved
167,0,2026-04-28 06:39:52,45155.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0167.mp4,Saved
168,0,2026-04-28 06:40:22,45185.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0168.mp4,Saved
169,0,2026-04-28 06:51:42,45865.5,16.0,2.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0169.mp4,Saved
170,0,2026-04-28 06:52:29,45912.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0170.mp4,Saved
